sentence	label
他教授了。	0
他把书拿走了几本。	1
昨天我差点没找你去了。	1
我昨天想试试我左手的开车技巧，所以昨天去公司的时候开了左手。	0
你到底想说什么吗？	0
三个朋友吃了饭多好。	0
从超市，他买了很多水果。	1
我是吃过蛇肉的。	1
什么东西有人不吃呢？	1
他们那一天都生病了。	1
这种小事自然不被上头重视。	1
老师一声令下，大家就开始忙了起来，有的去铲土，有的搬土块。	1
我饱。	0
露露对蜜蜜过分客气了。	1
我喊哑了嗓子。	1
我送两个朋友至少两个礼物。	0
我是到死都会想着你的。	1
露露已经睡觉，不要大声说话。	1
每个小孩都有一个玩具特别喜欢。	0
有客人来了。	1
有三个学生，我知道在学校受伤了。	0
张三做起事来用不用心？	1
张三会死一条鱼；李四也是会死一条鱼。	0
小明是一个聪明的人。	1
他把我气得不想写信了。	1
张三重我三公斤。	1
他们往操场上演戏。	0
张三的脸稍微有点红红的。	1
我的苹果他给咬了一口。	1
张三给了两巴掌丈夫。	0
把贵重的首饰，他藏在瓦罐里。	0
你为什么说最多两个人}辞职？	1
我1989年住在鹿特丹。	1
张三跑得一双新球鞋掉了底。	1
露露过分敏感了一点。	1
这件事故校长责任很大。	1
她读了那两本英文写的书。	1
安静，上课了。	1
因为他不会，我一定得照顾他们。	0
他不去北京了。	1
这里有更多书包，慢慢挑。	1
他跑得很累。	1
小明要不要站起来？	1
宝荣今天跟几个朋友在后院玩得很痛快。	1
张三写上字在黑板上。	0
他射一箭。	1
到政治系主任那里。	1
露露比丽丽漂亮。	1
小张热乎乎地熬了一锅汤。	0
李先生笑下午。	0
他们演在操场上。	0
垃圾被及时请人清理了。	0
张三比李四高高的。	0
谁无论什么都吃。	0
那封信被叫李四请王五托他妹妹寄走了。	0
校长对这件事故责任很大。	1
胡斐来，我就留下来。	1
中国，大城市呢，交通方便一点。	0
张三比李四跑得快。	1
你为什么把我崭新的故事书扔了？	1
张三要离开，但是我不知道张三要离开的原因为什么。	1
我上星期吃了那家饭店三次。	1
他养一只兔子。	1
我们下车以后，就开始上山。	1
一只猫总是有四条腿。	1
他连坐在迷你马上都骑马啊很紧张！	0
那三本你送我的有趣的书我一直保存。	0
他一拳打在了对手的脸上。	1
我听到了露露的弹钢琴的声音。	1
不想小肚子一阵疼滚将上来，一块儿蹲到在地上。	0
明是很喜欢你给他的礼物。	0
奶奶织大了毛衣，胖点也能穿。	1
这根绳子短啦50公分。	0
中国人民所取得的成就使敌人害怕。	1
是有过几天清闲的日子，不过现在老主顾又都回来了，跟以前差不多。	1
张三骑得那匹马很累。	1
刚刚还很少学生在读书。	0
你想去，我但是不想。	0
李逵累得哭了两天。	1
这种地方把小树给长歪了。	0
玛丽在五分钟内激怒李四。	1
她有细细的头发。	1
阿Q给他烤了一块蛋糕。	1
他是跟你开玩笑的。	1
他能去我不敢的地方。	1
张三怎么样修车？	0
妈妈呢，对朱自清写的散文很爱看。	0
露露听了那个消息以后，特别高兴。	1
日本人么，真的努力工作吗？	0
石头丢到水井里。	1
他喝醉了酒，倒头大睡。	1
我已经买了单。	1
我插了花在花瓶里。	1
这首歌玛丽唱起来很好听。	1
我去跟他谈的。	1
邓小平逝世的那一项重大的消息令所有人震惊。	0
他有没有跑得很快？	1
刘麻子被用浸过水的麻绳结结实实地捆了他一下午。	1
张三贪污跟李四偷窃的后果一样严重。	1
桌子上有书。	1
他造了一座桥，可是没造好。	1
老师把他的纸条看见了。	0
李四进来的时候，他总是还在吃东西。	0
那首歌唱起来我落了泪。	0
他们都比我高一头。	1
她头发没烫。	1
茴香豆，我吃过阿Ｑ做的。	1
张三这个月休礼拜四，下个月休礼拜五。	1
食物很新鲜。	1
李四贪污公款的代价很大。	1
他正把信写着。	0
是张三打了他。	1
除了可以自己吃饭，张三还或许可以走路。	0
他踢破了他的球鞋。	1
我写了两封信。	1
这件事他知道了。	1
那段路走得我累死了。	1
他们会吃的橘子一定很甜；不会吃的橘子一定不甜。	1
他们几乎赢了一场球。	0
脸上不是挤出白色的东西了，是挤出黑色的东西了。	1
有一个玩具每个小孩都特别喜欢。	1
老爷子从来不抵制使用洋货。	1
刘老板请大家吃一顿饭。	1
他都已经学了三年中文了。	1
他很英勇。	1
他们唱得我没心思看的那本小说。	1
刚才的比赛跑得他们满身大汗。	1
他好像很妥当地解决了所有的问题。	1
他很骄傲，但我不知道多。	0
这书不好看。	1
小芳和小梅都一样高。	0
有来无回。	1
这就是我喜欢他唱歌的声音。	0
就是我们中国人看起来，也往往会觉得他好像讲着周围的人物，或者简直自己的顶门上给扎了一大针。	0
这几天诊所不给看病。	1
张三知道三个人一定搬得动自己的钢琴。	1
张三呆在家里。	1
这孩子追得我直喘气。	1
水清清的。	1
这件事激怒了李四。	1
我很舒服了。	1
学生吃了蛋糕。	1
我故意踢这个球去撞他的头。	0
他喜欢谁打算请他来演讲的作家？	0
他想雇佣会讲一口标准英文的人，但我不知道是多流利的。	1
张三踢李四。	1
他很忙，对于文件一向欠读一章一段。	0
他连吃都吃最贵的。	1
艰苦的工作病倒了涛涛了。	0
我把第一年的博士生都找了过来。	1
谁想不想吃苹果？	0
屋子里出现了只蚂蚁。	1
我想找一个秘书兼一个打字员。	1
毛巾被约翰扭干了。	1
我喜欢吃这些饺子。	1
张三，你教过的那些，他们几个学生，现在在这儿。	0
这就是我们以为他没来的原因。	1
李四被张三怕会打王五。	0
昨天来了客人了。	1
姐姐白色的衣服洗干净了。	1
我抽烟，就被第一口呛得连连咳嗽。	0
房间完全被收拾干净了。	1
张三要去，而且我不去。	1
但经常是在中途有了空座后才坐下来。昨天也是。	1
运输队往厂里运。	0
这几个数字，使县领导十分惊讶。	1
他把门洗好，窗户擦干净了。	1
阿Ｑ还没见到第一年的博士生。	1
那个学生啊，我认识昨天来找你的。	0
情况有变化。	1
如果你认为他最喜欢小梅。	1
我想知道一只猫那时候是不是在爬树。	1
难道他是老实人吗？	1
这本书很好看。	1
多么详细的，他要一份名单？	0
煮菜，我是烤过鸡。	0
李四之前喜欢玛丽，他或许还喜欢她。	1
连张三，我昨天都看见他了。	0
小王呢，是上海人。	1
玛丽的批评把李四激怒了。	1
张三喝红酒。	1
他连便宜都不占。	1
李奇又睡觉了。	1
学生啊，我认识那个昨天来找你的。	0
他去学校吗不？	0
张三被警察逮捕了儿子。	0
小虎这害怕呀，就把苹果递过去了，结果二伯一口就给咬下来一半。	1
小芳很高，小梅很高。	0
连一年鱼，李四都没卖过。	0
给衣服淋湿了。	0
有人会来吗？	1
张三吃了一个下午。	1
他在搞研究。	1
他烂了一筐苹果。	1
张三坐上了头等舱。	1
李四卖鱼已经三年了。	1
他写疼了手指。	0
那个人，我无法跟他合作。	1
我因为每个人都决定去看他很高兴。	0
我好心劝他，却被他不理不睬。	1
张三肯定比李四高一头。	1
老王现在还在看电视。	1
小部分的学生会去。	1
小明是不是站起来了？	1
张三还在车子里。	1
瞧，几句话，就把“野心”给露出来了。	1
张三洗了衣服。	1
李奇睡那种沙发三小时了。	0
张三买了很旧的车，但我不知道是多大多大的。	0
他不能去美国。	1
张三和李四合教了一门课。	1
丽丽买的本书很贵。	0
我在路上遇见一位老太太，说她遗失皮包。	1
露露睡觉。	1
产品推广到社会上。	1
小猴子跳在马背上。	1
他应该看书看了十个小时。	1
他回学校来拿东西。	1
李四卖过一年的鱼，两年的菜。	1
他敢去每个我不敢的地方。	1
他家的地板干干净净的。	1
小王嘛，班主任喜欢他还是不喜欢？	1
我气得他吃不下饭，睡不着觉。	1
你吃的是什么？	1
这五个学生各应该每三本书。	0
左手是绑红绳。	1
脸上是挤出白色的东西了。	1
这件洋装看上去很漂亮。	1
张三喜欢游泳，王五也喜欢游泳，他们都是喜欢游泳。	1
你不必多嘱咐，我知道。	1
电影有看头了。	1
他在学校碰见了是谁？	0
张三高了他三公分。	1
今天的工作还差写一份总结。	1
他看了一整天两小时的电影。	0
运输队在厂里运。	0
这件礼物被送了凯特。	0
那碗豆腐太辣哭了孩子。	0
这张桌子太宽了一点。	1
我知道每个人都决定去看他。	1
张三今年比李四认为王五去年高。	0
张三甚至看过那本书，	1
他有妹相伴他。	0
小狗挠了老张一爪子。	1
老李被隔壁的刘三给打了一顿。	1
医疗团队要防备有什么人突然生病，否则将影响研究进度。	1
他们根本不差哭鼻子。	0
小王嘛，喜欢吃米饭还是面条？	1
我叫两个学生回去把他们的车子开来。	1
李奇还在吃着食堂。	1
张三买了一辆车，但我不知道车子他买了多新的。	1
我是有听过传闻，但是战况真的有这么糟糕吗？	1
张三使我打伤他。	0
张三打了李四，但我不知道是为了什么。	1
我骂了孩子们一人。	0
老人给摔倒了。	0
这些事情不能被所了解。	0
米饭给吃完了，你让我吃什么！	1
李四高出张三两寸。	1
我哭得眼睛都红了。	1
小狗给放跑了。	1
他那道菜煮得很好吃；我没有。	0
张三连这本书都看过。	1
他把橘子剥皮。	0
三个顾客衣服买贵了。	1
门帘掀开了。	1
张三是法语学了很多年。	0
我给每个他要的人一本书。	0
那一本他的我看过很多遍的书绝版了。	0
老爷子压根儿没有注意门前那条臭水沟。	1
马上就开车了，坐好。	1
这件衣服还便宜。	1
只有张三和李四喝酒。	1
他虽然很忙，但是对于文件一向不欠读一章一段。	1
老吴羞辱李四，可是我不知道怎么样。	0
三个人吃得完五碗饭的。他们肚子饿死了。	0
小刚把桌子给碰歪了。	1
我们办晚会需要十张桌子。	1
他推了脚踏车过来。	1
刀被我拿切了肉。	0
他回来学校拿东西。	1
我刚走进公园，就被派警察请进了派出所。	1
张三最好的朋友：他学法语学了五年。	0
老王呀，把白色的他女儿给他买的专门用来喝咖啡的搪瓷杯子打破了。	0
他很骄傲，但我不知道是多。	0
这个回答对对的。	0
这瓶酒吧，先全喝了！	1
他买书不呢？	0
张三被李四怀疑他偷了钱。	1
一定要把房间完全收拾干净。	1
连看他都不想看。	1
我昨天看到的那场比赛出乎我的意料。	1
警察捕了张三。	1
李奇写毛笔三小时了。	1
我昨天看到的那双鞋子出乎我的意料。	1
这里的果树啊，小王都剥过皮了吗？	0
连张三，我昨天都看见了。	0
他看书应该看了应该十个小时。	0
张三教过三个学生很聪明。	0
我非常伤心他的去世。	0
他对你的分析的批评很到位。	0
他把帽子给一摔。	1
她送或者拿来了一碗汤。	0
糖水甜津津的。	1
这件事哭得李四的眼睛红了。	0
露露对蜜蜜过分客气。	1
1976年死了很多人。	1
他骑马骑得很累。	1
张三给参观了。	0
便宜都被他给我沾光了。	1
他修车的方法比我修车的好。	1
奥巴马每到一个城市他都跟市长见面。	1
我有个弟弟在上海，不是哥哥。	1
我是昨天来台北的。	1
张三仍可能明天这个时候到北京。	1
他认识张三的三个姐姐。	1
阿Q论为了什么都应该离开。	0
连关于他自己的文章张认为李四都批评过。	0
几岁的，张三有一个小孩？	0
一个女人挑着一担水进来了。	1
他吃了那顿饭。	1
菜越来越贵了，但是我不清楚是多少钱菜越来越贵了。	0
老王呀，把白色的专门用来喝咖啡的搪瓷杯子打破了。	1
我就不打搅了。	1
这瓶酒醉得张三站不起来。	0
玛丽把一片的的树叶捡了起来。	0
通道都已经被派兵把守。	1
昨天盖了一排小木屋。	1
气球飘半空中。	1
她们机场连着出了两次事故。一个水箱没扣上，起飞时，一箱开水都浇到坐在下面的乘务员头上。	1
张三做不做起事来很用心。	0
张三在放行李，马上过来。	1
他急得大哭起来。	1
张三把李四的看法很赞成。	0
头顶上是灰蒙蒙的一片天。	1
你有没有可能会离开台湾？	1
孩子给病死了。	1
我的椅子的高度比你的桌子的宽度大。	0
张三看见某人，但我不知道到底谁。	0
他在某个地方看到你，但我不知道在什么地方。	1
挖洞，我逮了兔子。	0
阿Q给你们写了一封信。	1
宝荣今天才会在后院跟朋友玩。	1
有人要来拜访你，猜猜是谁要来拜访你。	1
他们从来就不差哭鼻子了。	0
他比我还重三公斤。	1
他看过那本书。	1
他来不来一点儿都没关系呢？	1
每个专业都怎么样？	1
她们都和我是同乡。	1
他刚才吃了一个苹果，你也应该吃一个。	1
他一向不后悔年轻时抛下父母，远走他乡。	1
几乎那些人都来了。	0
我想车子开了一万公里就去保养。	1
约翰把毛巾扭干了。	1
我把教练都追累了。	1
李四被我们骂得很厉害。	1
什么张三想知道李四买了？	0
张三在想那件事。	1
小张会颁发奖状给那些想出了答案的人。	1
他很骄傲，但我不知道是多么。	0
他喜欢每个我也是的人。	0
被李四张三昨天打了。	0
他被李四骂了两声，王五踢了三下。	1
张三要一份很详细的名单，但我不知道多详细。	1
李四都认识每个人。	0
阿Ｑ—口气喝完了六罐装的啤酒。	1
张三给卖了。	0
有每个人都去投票了。	0
因为他不能来，我们很失望。	1
这就是那一小箱书。	1
丽丽想每天吃个苹果。	1
等汽车到了站，他肯定还在睡。	1
自行车在院子里停。	0
小树比大树容易断。	1
我送至少两个朋友两个礼物。	0
他把我恨得牙痒痒的。	0
学生们各笑了。	0
露露高。	1
张三更比李四高。	0
张三离开了，但我不知道那是为什么。	1
小张的爸爸是个英雄。	1
这场长途赛车我们已经开了三分之一的路程了。	1
他在那个城市举办过一个展览会。	1
他好像没吃什么东西的样子。	1
我喜欢张三他这个用功的学生。	0
他哭大概可以哭好几小时。	1
明很喜欢你给他的礼物。韩也是。	1
小王是第一个跳。	1
诸葛亮哭周瑜。	1
张三对这件事有责任很大。	0
这一数字与上世纪90年代早期不足0.5%的数字相比更是有了显著增长。	0
丈夫的理解使她十分感动。	1
气球过下了。	0
这件事张三有责任。	1
张三会更经常地来探望你。	1
是不是没有人想去？	1
每天只能吃三分之一粒的感冒药。	1
我们把李四骂。	0
前六个学生去过台北。	1
我们讨论了要不要扩大招生的问题。	1
水果，我最喜欢香蕉。	1
参加比赛的是北京队和山东队。	1
他今天不来，明天也该来了。	1
你不乖乖的。	0
张三喝酒了吧。	1
是阿Q喝了红酒。	1
他可坏了。	1
我昨天看到的那颗星出乎我的意料。	1
我曾经以为这根绳子长了一点。	1
不论什么人喜不喜欢他都和我无关。	1
整个河北差不多全给刘秀给占领了。	1
菜越来越贵了，但是我不知道是多贵。	1
小明站起来了。	1
你要闹，就拿神拿鬼吓唬你。解放以后，把这东西就从思想上啊，给解脱了。	0
阿Q啤酒喝了六罐，小Ｄ高粱喝了两瓶。	1
如果他怎么修车，你就应该用那个方法修车。	0
我想杀它一个措手不及和它一个片甲不留。	0
这本书连他都不看。	1
下个月我就在日本了。	1
这个小男孩被所迷惑。	0
他有妹相伴。	0
牛奶运在厂里。	0
张三做起事来很认真。	1
来是来了，可很不情愿。	1
李四被侮辱了。	1
他在某个地方看到你，但我不知道是什么地方。	1
一只狗，我看过。	0
有个女人杀了李四。	1
他居然听任有什么人随便进来。	0
书是我的。	1
小狗杀死了。	0
我对他的去世非常伤心。	1
张三昨天上午可能赢了那场比赛。	1
我正在赶昨天拿回来的作业。	1
有三瓶酒被阿Q喝了小D。	0
张三在学校比在家里开心。	1
张三打了李四，但我不知道是在什么时候。	1
他吃的东西都是好东西。	1
小明站不站得起来？	1
我明年去北京的。	1
他们砸碎了一块玻璃。	1
张三砸了几次门。	1
小船沉了。	1
李四把老虎没有打死。	0
那孩子把杯子给打碎了。	1
他看到了一个男孩；我也看到了一个男孩。	1
他用针戳。	1
他是很漂亮。	1
他没准时有回学校。	0
每个人决定去看他是不可能的事。	0
这个没有头脑的人终被小人所陷害。	1
我吃晚餐这家饭店。	0
我喜欢是张三买的狗。	0
李四被怕会他王五。	0
这个太小，老李只好睡地板。	1
走上前把他扶起来。	1
我看出他妹妹离开了她丈夫这回事使他很高兴。	1
咱们玩它一幅痛快。	0
我昨天买的那本书丢了。	1
我有张三的那三本书。	1
只蚂蚁出现了。	0
小孩把妈妈追累了。	0
张三会说张三喜欢张三的老师，李四也会说张三喜欢李四的老师。	0
你对那件事的严厉批评很到位。	1
张三坐上了第一趟班车。	1
他画画用掉了一大张纸。	1
都十分高兴。	1
纸上画了一个圆圆的几何圆。	0
老王嘛，你先带过来给我看一下！	1
淑芬来了。	1
张三有一事相求。	1
衣服阿姨洗干净了。	1
那本书，张三都睡着了。	0
你觉得他会不会来呢？	1
李四很沮丧。	1
汤有点煮咸了。	1
李四训练马训练得怎么样？	1
他没有去北京。	1
小王吧，是上海人。	1
懂它个法文有甚么了不起。	1
太历来了。	1
张三花了两个小时吃完那顿饭。	1
那三只狗太吵了。	1
张三买了一些东西，但是我不知道是什么东西。	1
他整天婆婆妈妈，唠哩唠叨的。	1
连下雨我都不打雨伞。	1
小王嘛，班主任喜欢不喜欢？	0
星期三你可以把车子开回来。	1
张三会更加经常地来探望你。	0
他听到了你叫他修车的原因。	1
我们把他看到了。	0
他是一双大眼睛，不是小眼睛。	0
这个孩子老老实实的。	1
你爬你的山。	1
他们把这些事情做完了。	1
弟弟吃饭。	1
露露漂亮丽丽很多。	0
他什么书没写。	0
李四悄悄地送了张三一件礼物。	1
悠悠追累了涛涛。	1
张三没有被李四打伤手。	1
张三出事了，但是我不知道是在哪里。	1
哭得很伤心。	1
那个时候觉得有一点饿了。	1
他昨天在学校比我今天在家里开心。	0
我很喜欢音乐。	1
他骂了那个人三次。	1
张三连饭都虽然没吃，但在比赛中很有活力。	0
大门给换了把门锁。	0
丽丽睡沙发，他还会睡更多沙发。	0
每个人都做了什么菜？	1
但是我很温柔，虽然我很丑。	0
那个化妆品使用起来清爽，不黏腻。	1
我买了一本书。	1
他快速地向我跑过来。	1
一个高高瘦瘦的金发姑娘二十岁。	1
是张三买的狗最可爱。	0
他能不去美国。	0
这是张三作为博士生的第一年。	1
衣服被淋湿了。	1
他们都跟我一样高。	1
如果他最喜欢小梅了。	0
他挺坏了。	0
虽然张三很累，他还是洗了碗。	1
作业给写完了。	1
淑芬把毛衣织长了。	1
她提出来的让儿子出国留学的想法受到了父亲的赞同。	1
张三很诡秘地跟几个朋友买了手枪。	0
阿Q明天去上海，而黛玉下星期才去。	1
你去帮他好了。	1
小偷一般都在被人不注意的情况下行窃。	0
石头丢在水井里。	1
他们从来没有责怪我匆忙地作出了离婚的决定。	1
他们三个学生都很优秀。	1
熊猫吃竹子。	1
他气得呀，我不想写信了。	0
哪把菜刀切钝了？	1
李四在市场卖了一年鱼。	1
他去火车站接人的。	1
一碗饭吃三个人很好；两碗饭吃不好。	0
他把我的书给拿走了好几本。	1
她不去学校不？	0
天气会再热。	0
高速公路上开着一排坦克车。	1
每个人不都做了吗？	1
自申请的次年开始适用。	1
我对他们两个很有好感。	1
因为太多的学生想进入会场，结果把西电礼堂的大门给挤坏了。	1
杀你个片甲不留。	1
我在外面儿开计划生育工作会议，你们倒把超生游击队给它搞到家里来了。	1
你对这个计划的意见很深刻。	1
毕业旅行快到了，但是我不知道星期几毕业旅行快到了。	0
他以为每个学生都喜欢书。	1
王五很不高兴。	1
李四顶了老张一脑袋。	1
张三比李四高得多。	1
我挺舒服。	1
她拿了一本书。	1
他被人找到了。	1
宿舍被他买花来了。	0
学生们一人到达了。	0
他有把枪放下。	0
他气得我不想写的那封信。	0
这本书把我看得封面都坏了。	0
连张三都看过这本书。	1
我想要一个室外看的望远镜。	1
他都买了每个的东西。	0
那场火，幸亏消防队来得快。	1
张三想死它个痛快。	1
这是一件真真的事。	0
他的手把栏杆抓得紧绷绷。	0
他走进屋里拿东西。	1
东尼送了一封信给凯特。	1
我是吃的红米饭。	1
李四把我吓了一跳。	1
袁宗第已经杀得两眼通红，络腮胡子支奓着，策马赶上，大吼一声，一铁鞭把祖大弼打落马下，他的亲兵和偏将们舍死反扑，把他救走。	1
姐姐脏的衣服洗干净了。	0
没有人是不是想去？	0
露露非常高190公分。	0
胡斐喝完了汤。	1
那把刀么，小王应该会用来切菜。	1
老李和老张是山东人。	1
全部学生，他喜欢。	0
花红了。	1
他把李四害了自己。	0
他们都比我高。	1
她吃了三碗面了，饱了，不吃了。	1
这是一支能写的笔。	1
但经常是在中途有了空座后才坐下来。昨天也是那样。	0
张三打死过一个人。	1
他必定会来。	1
要是一个人很有钱，我们就去找他资助。	1
张三已经离开办公室。	1
张三喝红酒了。	1
我吃了他一个苹果；他吃了我。	0
她的话说到心坎上。	1
我们把李四骂了一顿。	1
他们希望学校给寄来了一本书。	0
这个不孝之子真是没气死我啊！	1
我们家里盖了两栋小木屋。	1
这场长途赛车已经开了。	1
这一回可被他爸爸给他给给他骂哭了。	0
您给修一修电视。	1
显然玛丽跑得很快。	1
那犯人给跑了。	1
他有进步。	1
时刻小心广告牌掉下来砸着人。	1
经理承认私自给什么人看过。	1
脖子扭伤了。	1
你认真地上。	0
跟李四比起来，张三更高。	1
嘴里不说，可是他心里想着呢。	1
我连看相信他都没看。	0
我现在想到还是很可怕。	1
对这件事故校长呀责任很大。	0
严厉的你对那件事的批评很到位。	0
苹果，张三只买了一个。	1
看书，他看了三个小时。	1
气球在空中飘。	1
只要李四有钱，张三就喜欢李四。	1
我住在一个小小木头房子里。	1
我和他们都一样高。	1
他把没把你害了。	0
我看过，这电影呢。	0
一个学生那时候可能在学校。	1
张三给了几刀歹徒。	0
小鸟在树枝上落。	1
难道你相信他是老实人吗？	1
他咳了。	1
他有去北京。	1
他那本书可能已经买了。	1
他去了北京。	1
一个高手下错棋很不可能。	0
他走进一个球场了。	1
我们对住宿的要求嘛，交通必须还方便，价格还必须便宜。	1
每个孩子都会带来他最喜欢的一个玩具。	1
你们，谁会为了什么离开？	1
宝玉要跳舞，我可是要回家。	1
我哥哥唱哭了。	1
姐姐方格儿的衣服洗干净了。	1
小王啊，班主任喜欢不喜欢他？	1
张三明天这个时候可能到北京。	1
李四顶了门板一脑袋。	0
电影太有看头了。	1
他的那一本我看过很多遍的书绝版了。	1
他是一个能写的人。	1
他乐心里。	0
他敢去我不能的地方。	1
他用小刀在封皮上划了一下，但是并没有留下痕迹。	1
每个人不是都来了吗？	1
他马上回来。	1
李四一拳打在了对手的脸上。	1
上个星期他来的。	1
谁你认识，谁不认识？	0
干社会主义我一百个拥护，一千个赞成的。	1
这不能避免有什么人随便进来。	1
张三用叉子比用筷子熟练。	1
这家书店只有两类书。	1
张三喝了白葡萄酒。	1
张三明天这个时候可能已经到了北京。	1
小明昨天在家比小军今天在学校开心。	0
每个人不都去。	0
那首歌唱得我呀，哭了起来。	1
这就是我们正在考虑的那个要不要扩大招生的问题。	1
张三死了父亲。	1
阳台上，一个女孩正在唱歌。	1
张三的儿子比李四的高一点。	1
这瓶酒啊，先全喝了！	0
他们把这些事情所做完了。	0
王老师呀，把张平英写的论文反复地看了好几遍。	1
王五有三只这一种狗。	0
农田毁坏了。	1
大雨洗冷水。	0
张三眼镜打破了。	1
小王一个字也不认识。	1
因为他过重，所以他不用当兵。	0
张三基于某个理由决定要休学，但是我不知道为什么。	1
她拿了一碗汤来。	1
跟张三跳舞的女孩很漂亮。	1
他们根本还差哭鼻子。	0
你想去，却，我不想。	0
